model_name,dataset_path,dataset_config,horizon,num_windows,initial_cutoff,window_step_size,min_context_length,max_context_length,seasonality,eval_metric,extra_metrics,quantile_levels,id_column,timestamp_column,target,generate_univariate_targets_from,known_dynamic_columns,past_dynamic_columns,static_columns,task_name,test_error,training_time_s,inference_time_s,num_forecasts,dataset_fingerprint,trained_on_this_dataset,fev_version,MASE,WQL,framework_version,model_config
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_traffic,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_traffic,0.8447269157783845,,35.10953225399999,862,a395745939b7b0f3,False,0.7.0,0.8447269157783845,0.24171419816657644,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_australian_electricity,48,1,-48,48,1,,48,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_australian_electricity,0.7042184894064857,,0.30636773499963965,5,c3fa76db06a6f37a,False,0.7.0,0.7042184894064857,0.03173654003125534,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,ercot,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],ercot,0.813627280531502,,0.4177145670000755,8,95b91121d95f89c8,False,0.7.0,0.813627280531502,0.02401964877043383,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets_extra,ETTm,24,1,-96,24,1,,96,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTm,0.521557873916438,,0.5755896259997826,14,eb7409291613303b,False,0.7.0,0.521557873916438,0.04061928357236282,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets_extra,ETTh,24,1,-24,24,1,,24,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,__ALL__,[],[],[],ETTh,0.7626719843987146,,0.5743089799998415,14,a06554384ee004c7,False,0.7.0,0.7626719843987146,0.0730682156264781,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,exchange_rate,30,1,-30,30,1,,5,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],exchange_rate,1.8948631259217572,,0.3445564590001595,8,a8476b6fa723f5ed,False,0.7.0,1.8948631259217572,0.01078565900373223,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,nn5,56,1,-56,56,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],nn5,0.5604106483484953,,0.48270079499980056,111,91434e4cabb44eab,False,0.7.0,0.5604106483484953,0.14512082286038025,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_nn5_weekly,8,1,-8,8,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_nn5_weekly,0.892571864063384,,0.15933378199997605,111,480088d6b89d7100,False,0.7.0,0.892571864063384,0.082112147377071,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_weather,30,1,-30,30,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_weather,0.7743315146700582,,130.37112261499988,3010,980478e7349a0e49,False,0.7.0,0.7743315146700582,0.12568542012959621,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
autogluon/chronos-2-synth,autogluon/chronos_datasets,monash_covid_deaths,30,1,-30,30,1,,1,MASE,['WQL'],"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",id,timestamp,target,,[],[],[],monash_covid_deaths,32.0572426315061,,0.4376599189999979,266,6cdf94c2ac2fae09,False,0.7.0,32.0572426315061,0.03404463531863987,2.2.2,"{'model_name': 'autogluon/chronos-2-synth', 'batch_size': 100, 'device_map': 'cuda', 'torch_dtype': 'torch.float32', 'as_univariate': True, 'seed': 123}"
